"","GSM856203","GSM856204","GSM856205","GSM856206","GSM856207","GSM856208","GSM856209","GSM856210","GSM856211","GSM856212","GSM856213","GSM856214","GSM856215","GSM856216","GSM856217","GSM856218","GSM856219","GSM856220","GSM856221","GSM856222","GSM856223","GSM856224","GSM856225","GSM856226","GSM856227","GSM856228","GSM856229","GSM856230","GSM856231","GSM856232","GSM856233","GSM856234","GSM856235","GSM856236","GSM856237","GSM856238","GSM856239","GSM856240","GSM856241","GSM856242","GSM856243","GSM856244","GSM856245","GSM856246","GSM856247","GSM856248","GSM856249","GSM856250","GSM856251","GSM856252","GSM856253","GSM856254","GSM856255","GSM856256","GSM856257","GSM856258","GSM856259","GSM856260","GSM856261","GSM856262","GSM856263","GSM856264","GSM856265","GSM856266","GSM856267","GSM856268","GSM856269","GSM856270","GSM856271","GSM856272","GSM856273","GSM856274","GSM856275","GSM856276","GSM856277","GSM856278","GSM856279","GSM856280"
"ATP10A",29.9,7.3,100.8,76.7,17.9,30.7,42.4,121.5,33.8,42.2,173.3,89.1,56.2,19.6,98.4,120.5,50.1,97.5,63.2,14.6,166.5,115.1,90.4,88.7,143.2,27.7,64.1,74.6,76.3,784.3,137.4,255,33,226.3,261,234.1,128.7,216.1,196.2,133.2,109.9,37.3,24.3,70.2,33.5,201.1,46.6,166.1,48.3,31.3,79.4,20.9,131.5,163.3,81.3,12.7,23.5,118.9,155.9,39.2,14.8,18.2,58,26.7,59.1,142.9,20.1,90.5,382.5,83.1,146.9,140.9,460.4,205.2,336.9,25.2,141.3,113.4
"HOXA1",52.2,41,31,18.4,24.3,210.9,88.5,23.4,10.3,73.3,173,77,146.3,126.9,17.7,126.5,126.7,179.2,56.2,28.8,89.2,155,79.2,163.9,133.8,91.9,156.7,15.7,8.7,13.6,6.3,8.1,7.6,58.2,11.2,12.2,21.7,39.6,4.1,243.2,23.7,127.8,15.8,144.4,177,86.2,14,153.3,24.3,145.7,174.7,9.4,36.9,251.2,406,83,104.5,300.6,79.1,221.4,137.2,61.6,116.6,712,108.7,210.1,173.1,56.8,38.8,23.6,5.3,10.3,7.7,27.1,8.6,16.1,7.4,6.2
"APP",256.6,153.5,287.4,224.8,140.8,171.7,184.8,232,170.5,178.3,172.9,135.4,246,149.1,283.4,212.3,201,209,368.1,223.3,191.3,145.5,132.3,153.8,161.5,210,151.1,197.1,196.2,1656,344.1,209.6,677.9,80,574.1,1842,964.5,183.3,1085,281.5,51,231.3,769.9,223.4,448.1,180.1,439.9,175.1,261.8,54.9,239.8,308.5,129.1,164.9,126.6,140.5,170.4,209.9,138.2,299.9,85.5,175.7,198,234.9,183.7,185.3,240.2,1006,148.5,184.9,1007,432.8,123.7,285.6,280.3,192.2,235.8,240.1
"POLE",308.5,447.1,402.9,302.1,374.5,225.7,286.6,406.9,296.2,351.1,226.7,497.2,155.7,340.2,366.1,692.5,234.9,247.7,214.3,218.5,274.2,250.3,269.5,135.3,212.9,344.6,292.5,212.3,270.2,483.8,353.4,852.8,887.4,1188,922.8,383.1,381,498.7,1463,305.8,735.8,309.9,488.4,257.8,262.2,255.3,309.8,395.1,160,232,110.6,286.8,437.7,296.5,178.1,278,225.6,228,396.8,128.2,150.6,351,372.4,309.3,305.2,123.3,393.6,126.4,291.2,301.8,868.2,938.9,355.5,400.3,68.7,476.4,1097,702.7
"HOMER2",205.4,116.1,93.1,73.7,111.2,98.9,28,22,122.8,72.7,142.2,91.8,30.9,52.5,279.1,155.2,144.5,153.4,126.6,258.9,123,17.1,111.7,74,76.1,107.9,104.4,123.5,78.5,270.5,201.2,356.5,220.5,405.3,307.8,100.6,668.3,137,272.1,78,156.9,85,98.6,76,141.7,57.2,169.4,89,59.4,70.7,212.4,56.4,67,53.2,132.4,78.6,30,18.8,78.9,40.9,51.3,54.4,134.9,15.4,173.9,223.8,128.7,134,311.4,65.7,220.3,125.3,176.5,255.4,251.3,219.6,221.1,255.7
"TESC",683.8,517.3,765.9,453.9,1394,533.6,1300,731,564.7,710.2,232.6,730.8,147,387.6,869.7,1578,648.2,325.5,710.9,1028,1113,522.5,606.9,415,776.6,2279,1586,1060,1145,964,2604,2163,3789,3294,4248,706.1,1897,1336,2327,508.3,566,1272,151.2,1828,1334,1597,354.9,859,581,1465,1095,893.5,723.6,917,847,933.8,697.9,923.8,869.3,889.9,700.9,2142,1097,679.4,1178,1025,924.6,670.1,825.7,2062,2793,2931,1681,1681,640.9,1431,3527,820
"BAALC",21.5,19.8,67,51.5,46.4,178.8,11.2,14.7,55.5,480.3,51.1,51.5,184.7,173.2,34.9,244,25.2,28,50.7,104.7,63,52.6,33.7,18.8,40.2,37.4,75.6,37.4,61.4,946.6,58.4,2542,116.5,255.4,362.9,701.2,1023,134.6,113.7,207.7,173.4,56.5,8.4,45,60.1,13.3,57.5,67.1,62.4,28.1,136.8,17.5,78.7,54.2,34.5,14.5,32.8,56.3,29.2,96.8,9.7,280.9,294.9,19.9,314.6,59.9,230.2,102.1,376.6,770.1,127.2,144.4,31.1,57.7,342.3,266.9,480.5,177.5
"LAMP5",23.4,9.2,54.7,16.6,54.8,11.4,17.6,13.6,33.7,31.7,17.7,31,46.7,23.5,77.2,40,36,61.2,29.2,23,119.6,23.4,36.3,41.3,27.8,33.8,39.2,50.7,63.6,146.2,2828,30.1,1347,15.6,3171,25,133,555.5,47.1,58.7,45.7,40.2,10.4,190.5,171.9,32.9,55.2,13.4,49.9,64.3,29,46.3,25,91.8,13.9,66.8,78.7,81.9,23.2,176,59.2,255.4,61.6,119.4,14.9,102.1,16.1,20.6,71.9,108.3,2902,457.6,114.6,62.8,43.4,50.3,799.1,16.8
"MREG",105.3,89.3,71.1,20.4,53.7,43.4,73.2,77.1,92.2,40.1,34.5,30.6,56.9,48.2,106.4,8.7,43.6,46.8,141.7,53.3,102.3,30,54.8,88.6,79.5,80.3,54.4,54.9,53.8,75,307.8,289.4,347.4,215,223.4,431.3,77.1,53.5,71,201.3,64.3,36.5,131.3,63.6,161.7,87.3,26.7,36.8,54.7,64.3,81.7,14.9,18.8,71.2,63.3,55.8,33.4,113.4,38.9,49.7,60.4,179.5,198.9,94.1,2.7,60,55.6,115,98.6,279.9,797,202.7,259.5,103.4,593.4,186.1,251.5,483.6
"SIDT1",99.8,344.1,107.6,26.9,135.2,64.8,73.3,111.6,127.6,76.9,134.2,155.8,53.6,131.8,143.4,53.9,177.9,40.6,183,61.7,56.9,41,26.6,119.3,45.7,129,84.7,85,74.6,281.9,273.9,906.6,253.7,404,491.7,151,393.1,150.7,123.9,165.2,69.1,81.3,100.7,49,91.9,65,159,111.3,68.7,23.9,82.8,66.5,53.5,60.6,77.2,82,68.5,106.5,9.1,99.3,61.8,4.2,97.9,86.4,45.2,67.4,87.3,54.8,85.3,115.9,103.2,247.6,158.9,84.5,228.7,35.3,447.6,360.8
"NPR3",153.4,349.4,125.6,78.6,528.7,2086,1287,257.3,251.2,200.7,12,595.8,543.6,159.3,151.1,559.4,69.2,85.8,17.2,187.9,127.6,47.3,58.8,228.8,43.3,188.9,26.4,113.2,102.1,1017,3111,3278,2548,1100,1439,786.6,843.6,830.8,591.9,66.5,341.2,134.5,41.4,137,122.9,274,157.8,460.4,216.3,173.3,42.1,730.5,972.8,138.6,312.9,104.1,144.8,90.7,65.4,92.9,61.2,412.6,1814,546.4,472,413.6,570.9,37.7,1064,770.6,1398,1615,650.4,841,1271,754.1,1300,264.8
"ITM2C",866.2,303.2,1130,1671,1100,915.2,3491,2604,227.5,2238,2507,1169,1988,881.9,1354,1835,2808,2835,797.4,459.3,474.3,402.2,1283,633.9,236.9,1626,340.2,80,521,6662,4726,7123,7864,3186,5586,3830,3859,1328,2705,2460,871.1,1118,551.4,556,439.1,629,1022,1152,318.4,475.3,338.4,608.5,614.1,990.5,1172,492.8,439.7,213.8,554,356.7,109.1,712.9,705,530.9,4041,887.6,1642,645.9,3111,6112,5850,1167,1789,2199,4781,857.8,5884,6118
"MANIA1-2",579,620.1,388.6,1009,1005,424.7,204.2,509,1013,311.7,199.7,343.1,830.5,807.8,341.2,810.2,148.8,395,953.7,577.6,363.3,503.8,1007,277.4,264,328.6,375.6,626.8,368.4,4365,1365,3769,1347,930.6,1529,2054,1636,651.8,2118,501.8,660.1,610.3,672.5,492.6,331.9,219.9,483.7,322.8,537.4,307.3,564.5,465.3,742.1,149,363.7,461.1,697.6,190.9,269.7,310.1,979.4,1524,410.3,1133,1034,302.1,413.7,193.9,3294,599.7,3203,2444,614,1298,499.5,737.7,1676,2702
