"","Genotype","SERPINF1","ITM2A","ITM2A-2","GYPC","FECH","PPP1R26","FZD6","MEIS1","PBX3","CDKN2C","PROM1","ASB9","SPIB","CTSE","GPA33","HOXA4","ARHGAP22","TRH","HPGDS","HOXA7","GNG7","POU4F1","MAN1A1","HOXA6","ADCY3","SPON1","CD34","LDLRAD4","CD200","SMAGP","S100B","HGF","CSRP2","CDKN2C-2","GALC","SPRY1","HOXA5","ATP10A","HOXA1","APP","POLE","HOMER2","TESC","BAALC","LAMP5","MREG","SIDT1","NPR3","ITM2C","MANIA1-2"
"GSM856236","wild-type",7954.67027937461,46518.5210588781,49756.0371035292,23012.9241182621,12552.6951682584,6129.14994527545,10876.2333214048,696.513990472377,2125.23197250791,42212.4219731238,25089.7489552948,36096.3430121182,2627.67350501964,7861.75144404904,11331.960523342,2012.48397500283,694.526346136206,43565.3815169943,73338.454222905,479.528007432684,20330.219740019,158516.392537808,16470.2040472353,3743.44546533691,15112.0655909615,4670.92963850822,84915.6968309746,11377.5176841567,9446.05754364795,14114.281374212,42496.6078697422,15470.5866160156,5039.4973260895,35741.4375947327,32075.9687394157,24935.8551425849,861.727619928033,25719.1239814068,8019.0694021522,3355.5357951781,39361.0782549922,36831.3916504607,35320.0030880877,18260.5960075502,973.284585917321,22829.8380674277,38620.0040149509,25428.2933685323,21797.5523250722,13732.7934266758
"GSM856237","wild-type",17918.6042254037,45704.0182546613,49968.6310802443,46726.7494787047,36864.8249073367,10821.4295737098,4716.01656357037,1148.57245342447,1340.0635010998,26064.045782063,35710.304883563,22611.3347252416,5962.46180707115,47360.5845890664,38170.814394415,7191.61696330413,1358.47606068151,123890.871336713,63357.9449556625,1233.07201911262,27476.0383386581,118865.216911359,23096.2087454835,4724.87311542524,19410.8161880102,15876.6694924294,49079.5963764145,27229.340075566,23728.2702967684,17861.211676245,64165.5359565807,48682.7979189033,45600.0085054807,9902.4103356109,22007.0164874912,24576.64394106,607.350359125479,29662.7987589358,1543.18861347259,24080.1637501468,30574.413311201,27971.1382926519,45549.2935999382,25946.6338729051,197838.809098963,23721.7945314574,47003.6038964143,33264.8310521072,38217.5540765391,22563.3367175879
"GSM856238","wild-type",78677.0898172897,16455.4062776732,14171.4240223052,10204.7883236528,5963.40191986499,746.499031796369,10761.2085271714,2039.17676222953,222.277836101279,24954.4351373556,21346.265875628,9976.53845325986,20052.3788738542,9250.36167224575,31013.7866954622,861.971357714461,1520.09539909056,4024.99920023499,12637.6239072387,1310.13902030715,10223.642172524,82393.200132465,40546.0923426982,4285.5674053857,16656.3118371862,30490.1669071372,24488.2168993198,12293.6848384989,21729.7032316452,47077.1411934479,31546.8113975577,21623.035207972,37147.6870408369,14717.3438015502,14969.6217034426,12143.537863793,265.419994604836,26605.5984270761,1680.97331110407,77261.2116839756,12692.9537706124,9141.96397739045,7571.17613251327,50134.4162901104,1559.75093897007,45797.7170161933,14434.7044709346,18183.5414215341,26203.5861283825,30310.7217906642
"GSM856239","wild-type",33763.8680385193,6122.24401034235,4061.44961047808,23926.5989518189,48362.7449954845,2104.79050318525,16474.1066407648,2197.64290821002,3795.51398551356,7566.60024741956,15974.9985804207,9653.67313114789,22418.1580096028,34419.582044161,18099.7463649833,7034.56285999175,742.575338636195,69666.8033537782,2236.47013946586,7008.81560863664,29392.9712460064,29067.2259631306,35278.99798797,8711.33876078402,19213.296319307,172801.940232311,14055.9012218318,17684.1567000937,17685.4330857121,45697.3594268209,8073.27001356852,40396.9499270515,12949.5943948882,5924.23293376239,17252.6980861464,50656.1102558463,14607.959287018,14626.8283535442,2989.92793860314,40455.1784306159,12623.3761070303,60731.3571181912,20340.6332295393,73142.481267517,8297.87499532075,8186.8861162729,37578.028659102,19501.1893506307,26401.9944828794,24142.3275801006
"GSM856240","wild-type",12833.6567683351,10766.134810625,9467.21687797151,3527.86958564221,5098.66069716274,1644.54297982208,8371.24891365472,4134.86083232808,9418.82341465131,13870.1330588424,3331.27932482707,10288.6415979681,14072.457442165,7502.7191417016,9611.76263780417,4167.41236928898,5477.58514499876,490.037836155777,765.520736990067,3185.43604937426,10974.8067214594,2953.96842918645,6104.56235713007,5809.11699552282,12109.7635866735,11598.7267225457,17627.9054772881,9950.00142041419,14791.2817225386,13304.1342818806,20122.1166892809,15064.5525366807,5911.30909980118,8224.11674420606,7208.83458568018,6293.52686753171,1994.39660136204,24559.8881678392,5456.27402620665,7688.37139070181,16523.0384897008,12449.7918976391,14325.2957272875,9623.6343876909,34657.6658639149,5680.9131935227,14406.0262501314,19205.2964823424,9085.73430247833,9618.56302977357
"GSM856241","wild-type",9144.66698399912,24171.7486334113,28985.1532508559,20605.6621138681,10190.3476747876,3154.37936744029,10313.8898829303,61.4209868141426,5185.94980198883,27126.4389525276,40042.6504701436,41692.675262059,9847.22828459188,12634.7691105503,77408.9048492002,3217.78290740017,725.102977727108,46706.2768466574,37701.2431220705,1391.48752156806,16262.2247152647,8676.4543547853,31723.7092985284,4823.01588043407,10008.8704377399,9375.54386575569,16170.7340662175,13962.6715150138,21795.6936536068,9367.32575508241,18236.092265943,85886.5306796598,10089.6265030779,27440.8174389527,15099.2469193104,15127.1900887032,53.6361356110812,22298.2418256828,564.917260289072,45509.4542221029,48472.4389621663,24726.9224477927,24951.3197285914,8129.3256306126,2938.5707690196,7539.15582691797,11844.1051917139,13682.7334953039,18506.7103073824,31255.164923382
"GSM856242","mutated",6142.21376002343,14514.0725262692,21544.3640658281,23334.1705209282,7419.16587340607,4877.50119271462,22148.6631562804,11768.2610735897,14567.9934308104,14056.6420821017,3819.19397341286,4756.88241244969,6058.48974247054,4065.51283540481,2812.586323799,21103.6885799752,3442.05509909013,2200.08084897237,323.974646371223,12964.3822009479,7862.83930444114,3152.66585715863,10112.8211610783,10697.5613859628,13916.1725677224,6158.66564115808,5719.07540539669,8252.60646004375,1018.13793883631,8633.12995265703,909.090909090909,2835.35662179646,9643.08876532315,14717.3438015502,9663.3507700156,7869.65764973242,27161.1813201115,15138.2559183534,33509.2384639762,11807.2915792829,10131.8331063776,7088.20268624707,5450.2603429493,14850.1401361322,3662.29520470171,21375.0995487125,15792.1402556185,1537.25591727945,16830.5017952535,7405.02443746606
"GSM856243","mutated",1084.72776536927,8879.91779033351,2786.79040540767,6616.84148868086,11654.828777751,21104.0327786041,10045.4986963857,34211.4896554774,26001.7094604805,2984.14437214925,19771.0586696334,5962.24628166771,9026.62592754256,7851.19167045058,19468.3709600462,21775.7340453119,23915.2939943127,846.296797159235,9241.11551786302,19163.9942970419,8531.08309148111,15233.4694778673,3191.85917896533,19324.7777767392,5458.73091688723,12423.9991466571,1824.68809439376,11753.927445243,6457.63414910064,4708.97997417656,3012.21166892809,37258.7882291409,9579.29765992962,2003.43309059438,7129.38687272895,8844.65948244264,29054.2214005026,12490.1976383412,3265.4973338661,2139.15406942604,24378.6880303226,14258.1923265662,6068.95013596164,12397.7578218841,2851.22471643728,6827.71436156092,6605.55019166611,7887.394270312,5959.77646904282,9741.04549854792
"GSM856244","mutated",4238.21903262422,4629.80541344285,6187.8417052389,8873.91036975044,8549.78015349157,14318.1881963349,9853.79070599663,8661.58756053038,6586.77990576379,26182.0894676702,16218.9559047136,15002.4753008029,3134.00261894369,7381.28174531938,17773.2854523995,19142.3384990741,13606.6010579515,2621.77512934382,4546.09584424135,12947.2562006825,10760.1882789064,4013.68804503808,8585.36379820708,14847.5983063363,14964.8235070191,8786.06356281895,1129.63022663529,7620.52214425726,6052.2644141936,8924.27656396364,22645.8616010855,3406.55710628458,4465.37737754766,11422.9156406444,8960.86572918366,8687.04640422256,33755.2709334738,4239.16625941879,17608.8843573033,9701.69286780867,10267.6752114664,7724.32344014104,13639.0540158007,4039.63850597724,2508.07950986387,3875.76320679586,7771.79783766215,3109.18678006144,7648.98414922498,9006.15068590182
"GSM856245","mutated",503.460144264216,14036.3941899617,10937.2816105758,11423.0214350619,3952.35554811692,10703.5613055314,881.856755789581,23131.1436342061,14871.8264441863,7823.93548204319,1390.13613239312,14819.5182849394,7996.50807507639,6890.25227299127,7219.80864368047,15734.6296992962,55387.3840818056,1010.61215468328,603.533413804455,19048.3937952501,13247.8111357706,2799.42598520808,9196.34674335556,24545.0381822091,14433.3154966906,7051.30724274799,12103.5494374416,7279.6227379904,405.369734907048,11823.0841287121,909.090909090909,5945.99058551491,5602.98542373242,7985.04358303728,4344.53546085946,4108.93629499304,19569.301831043,2761.70884996988,2176.9982225774,32292.8376088452,16181.7766159412,8960.2151905636,1621.24604338763,600.5834238975,648.856390611547,13942.1290151314,9626.32278293455,957.028495870214,3772.49540239951,9924.03135551201
